Concat_Subtype_Element_Type,Weightings,Varient_Commment
Visitor Centre_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Visitor Centre_Foundation,9,NULL
Visitor Centre_Frame,8,NULL
Visitor Centre_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Visitor Centre_Fuel Cell,NULL,NULL
Visitor Centre_Gas System,NULL,NULL
Visitor Centre_Grassed Elements,3,NULL
Visitor Centre_Habitat Enhancement,1,NULL
Visitor Centre_Handrail,4,NULL
Visitor Centre_Handrail,7,If element required forsafe operation.
Visitor Centre_Heating System,NULL,NULL
Visitor Centre_Hydro Turbine,NULL,NULL
Visitor Centre_Incomer,NULL,NULL
Visitor Centre_Internal Features,1,NULL
Visitor Centre_Internal Walls,4,NULL
Visitor Centre_Internal Walls,9,If load bearing or criticalfor security.
Visitor Centre_Lighting,NULL,NULL
Visitor Centre_Maintenance Hole,3,NULL
Visitor Centre_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Visitor Centre_Padlock or Lock,6,NULL
Visitor Centre_Padlock or Lock,9,if critical to theoperation of the asset
Visitor Centre_Planted Elements,1,NULL
Visitor Centre_Roller Shutters,6,NULL
Visitor Centre_Roller Shutters,9,If element is critical foraccess/egress/security
Visitor Centre_Roof,8,NULL
Visitor Centre_Roof,9,If element is critical forsecurity or building is ofmajor significance
Visitor Centre_Security Camera,1,NULL
Visitor Centre_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Visitor Centre_Sewage Treatment System,NULL,NULL
Visitor Centre_Solar Panel,NULL,NULL
Visitor Centre_Substructure,8,NULL
Visitor Centre_Substructure,9,if function /performance of theasset beingcompromised.
Visitor Centre_Transformer,NULL,NULL
Visitor Centre_Treads and Risers,3,NULL
Visitor Centre_Treads and Risers,7,if required foroperational access.
Visitor Centre_Uninterruptible Power Supply,NULL,NULL
Visitor Centre_Ventilation System,NULL,NULL
Visitor Centre_Waste Disposal System,NULL,NULL
Visitor Centre_Water Point,NULL,NULL
Visitor Centre_Water Supply Plumbing System,9,NULL
Vortex Flow Control_Apron,5,NULL
Vortex Flow Control_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Vortex Flow Control_Downstream Headwall,8,NULL
Vortex Flow Control_Treads and Risers,3,NULL
Vortex Flow Control_Treads and Risers,7,if required foroperational access.
Vortex Flow Control_Upstream Headwall,8,NULL
Vortex Flow Control_Vortex,9,NULL
Wall_Access Strip,3,NULL
Wall_Access Strip,6,"If frequent maintenanceis required to keep theasset operational, e.g.for flow measurement,and no alternativeaccess is available."
Wall_Bearing Piling,8,NULL
Wall_Bearing Piling,9,If element is requiredfor structural integrity.
Wall_Berm,5,NULL
Wall_Berm,7,If less than 3 metreswide.
Wall_Capping Beam,6,NULL
Wall_Capping Beam,8,If critical to thestructural integrity ofthe asset
Wall_Channel Side,5,NULL
Wall_Channel Side,7,If less than 3 metreshorizontally from asset.
Wall_Coping,2,NULL
Wall_Coping,9,if the wall is for floodrisk management andthe coping is required toachieve the designstandard of protection.
Wall_Core,NULL,NULL
Wall_Crest,7,NULL
Wall_Crest,9,If failure of crest wouldcompromise the Wall.
Wall_Expansion Joint,5,NULL
Wall_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Wall_Exposed Face,7,NULL
Wall_Exposed Face,9,If primary defence hasno revetment or isexposed to extremeloading.
Wall_Exposed Toe,5,NULL
Wall_Exposed Toe,8,If asset is extremelyexposed or ExposedFace is a vertical wall.
Wall_Fill,NULL,NULL
Wall_Foundation,9,NULL
Wall_Glass Panel,7,NULL
Wall_Glass Panel,9,If asset is extremelyexposed.
Wall_Glass Panel Frame,7,NULL
Wall_Glass Panel Frame,9,If asset is extremelyexposed.
Wall_Ground Anchors,6,NULL
Wall_Landward Face,7,NULL
Wall_Landward Face,9,If the primary defencehas no revetment or issubject to regularoverflowing.
Wall_Landward Toe,7,NULL
Wall_Piling,8,NULL
Wall_Piling,9,If element is requiredfor structural integrity.
Wall_Property Level Resilience,9,NULL
Wall_Seals,7,NULL
Wall_Sheet Piling,8,NULL
Wall_Sheet Piling,9,If element is used forholding back water or isdeemed to bestructurally significant.
Wall_Shore,5,NULL
Wall_Shore,8,"If asset is extremelyexposed, or Shoreprovides structuralstability and preventsexposure of thefoundations."
Wall_Splash Deck,2,NULL
Wall_Splash Wall,4,NULL
Warning Flag_Flag,9,NULL
Warning Flag_Post,7,NULL
Warning Flag_Post,9,If element is critical forasset function
Water Baffles_Baffles,9,NULL
Water Baffles_Channel,6,NULL
Water Baffles_Channel,9,if channel required tosecure baffles.
Water Baffles_Treads and Risers,3,NULL
Water Baffles_Treads and Risers,7,if required foroperational access.
Water Distribution Pipeline_Foundation,9,NULL
Water Distribution Pipeline_Isolation Flange,9,NULL
Water Distribution Pipeline_Isolation Flange,3,If damaged element canbe isolated withoutdisrupting waterdistribution i.e. pipe istwinned or alternativeroute is available.
Water Distribution Pipeline_Maintenance Hole,3,NULL
Water Distribution Pipeline_Maintenance Hole,9,if element collapse /blockage directly impactthe performance of theasset.
Water Distribution Pipeline_Pipe Flange,6,NULL
Water Distribution Pipeline_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Water Distribution Pipeline_Pipe Sleeve,3,NULL
Water Distribution Pipeline_Pipe T Piece,6,NULL
Water Distribution Pipeline_Pipe T Piece,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Water Distribution Pipeline_Pipe Valve,6,NULL
Water Distribution Pipeline_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Water Distribution Pipeline_Pipework,6,NULL
Water Distribution Pipeline_Pipework,9,if on a pipe that iscritical to the asset
Water Distribution Pipeline_Seals,7,NULL
Water Distribution Pipeline_Treads and Risers,3,NULL
Water Distribution Pipeline_Treads and Risers,7,if required foroperational access.
Water Storage Area_Access Strip,6,NULL
Water Storage Area_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Water Storage Area_Animal Grid,2,NULL
Water Storage Area_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Water Storage Area_Channel Bed,7,NULL
Water Storage Area_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Water Storage Area_Fish Guidance and Deterrents,NULL,NULL
Water Storage Area_Grassed Elements,2,NULL
Water Storage Area_Habitat Enhancement,1,NULL
Water Storage Area_Inlet,7,NULL
Water Storage Area_Inlet,9,If element categorisedas Critical to overallasset function
Water Storage Area_Ladder,3,NULL
Water Storage Area_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Water Storage Area_Outlet,7,NULL
Water Storage Area_Outlet,9,If element categorisedas Critical to overallasset function
Water Storage Area_Planted Elements,1,NULL
Water Storage Area_Pontoon,1,NULL
Water Storage Area_Vegetation Cover,5,NULL
Water Storage Area_Vegetation Cover,9,If vegetation covercritical to the function
Watermill_Alternator,NULL,NULL
Watermill_Ceiling,4,NULL
Watermill_Climate Control,NULL,NULL
Watermill_Doors and Windows,6,NULL
Watermill_Doors and Windows,9,If element is critical foraccess/egress/security
Watermill_External Features,4,NULL
Watermill_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Watermill_Fire Protection,1,NULL
Watermill_Floor,8,NULL
Watermill_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Watermill_Foundation,9,NULL
Watermill_Frame,8,NULL
Watermill_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Watermill_Fuel Cell,NULL,NULL
Watermill_Hydro Turbine,NULL,NULL
Watermill_Internal Features,1,NULL
Watermill_Lighting,NULL,NULL
Watermill_Roller Shutters,6,NULL
Watermill_Roller Shutters,9,If element is critical foraccess/egress/security
Watermill_Roof,8,NULL
Watermill_Roof,9,If element is critical forsecurity or building is ofmajor significance
Watermill_Security Camera,1,NULL
Watermill_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Watermill_Solar Panel,NULL,NULL
Watermill_Treads and Risers,3,NULL
Watermill_Treads and Risers,7,if required foroperational access.
Watermill_Uninterruptible Power Supply,NULL,NULL
Watermill_Water Wheel,NULL,NULL
Weir_Access Point,3,NULL
Weir_Access Point,6,"If frequent maintenanceis required to keep theasset operational, e.g.for flow measurement,and no alternativeaccess is available."
Weir_Access Strip,3,NULL
Weir_Access Strip,6,"If frequent maintenanceis required to keep theasset operational, e.g.for flow measurement,and no alternativeaccess is available."
Weir_Actuator,NULL,NULL
Weir_Apron,5,NULL
Weir_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Weir_Bearing Piling,6,NULL
Weir_Bearing Piling,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Weir_Capping Beam,6,NULL
Weir_Capping Beam,8,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Weir_Central Support Structure,6,NULL
Weir_Central Support Structure,4,If structure is minor andfailure will not lead tosudden release ofhazardous flows.
Weir_Crest,7,NULL
Weir_Crest,9,"If the crest level iscritical for 1. flow orlevel monitoring, 2.regulating flow into areservoir or waterstorage area, or 3.maintaining a safedepth for navigation"
Weir_Datum Plates and Markers,4,NULL
Weir_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Weir_Davit,NULL,NULL
Weir_Daymark,9,NULL
Weir_Downstream Face,7,NULL
Weir_Downstream Face,9,"If the Crest level iscritical for 1. flow orlevel monitoring, 2.regiulating flow into areservoir or waterstorage area, or 3.maintaining a safedepth for navigation"
Weir_Drive Assembly,7,NULL
Weir_Drive Assembly,9,If there is no alternativefor operating the asset.
Weir_Expansion Joint,5,NULL
Weir_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Weir_Exposed Face,7,NULL
Weir_Exposed Face,9,If the exposed face iscritical for flow or levelmonitoring.
Weir_Gantry,1,NULL
Weir_Gantry,5,If failure wouldcompromise operation.
Weir_Guide Pile,9,NULL
Weir_Guide Pile,7,If single guide pile.
Weir_Ladder,3,NULL
Weir_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Weir_Left Bank Wall,6,NULL
Weir_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Weir_Mooring Point,6,NULL
Weir_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Weir_Navigation Light,3,NULL
Weir_Paddles and Rymers,7,NULL
Weir_Paddles and Rymers,9,If asset is extremelyexposed.
Weir_Pile Capping,6,NULL
Weir_Pile Capping,8,If element is critical forthe asset to performmonitoring / flow
Weir_Piling,6,NULL
Weir_Piling,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Weir_Right Bank Wall,6,NULL
Weir_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Weir_Sheet Piling,8,NULL
Weir_Sheet Piling,9,If element is used forholding back water or isdeemed to bestructurally significant.
Weir_Stoplogs and Lasherboards,3,NULL
Weir_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activities
Weir_Treads and Risers,3,NULL
Weir_Treads and Risers,7,if required foroperational access.
Weir_Upstream Face,7,NULL
Weir_Upstream Face,9,If element is critical forflow or levelmonitoring.
Weir_Waling,6,NULL
Weir_Weir Plate,8,NULL
Weir_Weir Plate,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Well_Access Point,3,NULL
Well_Access Point,6,"If frequent maintenanceis required to keep theasset operational, e.g.for flow measurement,and no alternativeaccess is available."
Well_Access Strip,3,NULL
Well_Access Strip,6,"If frequent maintenanceis required to keep theasset operational, e.g.for flow measurement,and no alternativeaccess is available."
Well_Chamber,4,NULL
Well_Chamber,9,If element is critical foroperation.
Well_Equipment Housing,4,NULL
Well_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Well_Fixings,3,NULL
Well_Inlet,9,NULL
Well_Internal Features,1,NULL
Well_Ladder,3,NULL
Well_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Well_Maintenance Hole,3,NULL
Well_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Well_Outlet,9,NULL
Well_Padlock or Lock,6,NULL
Well_Padlock or Lock,9,if critical to theoperation of the asset
Well_Pipe,6,NULL
Well_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Well_Pipework,6,NULL
Well_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Well_Pump Out Point,5,NULL
Well_Seals,5,NULL
Well_Seals,7,If element is critical forasset function
Well_Treads and Risers,3,NULL
Well_Treads and Risers,7,if required foroperational access.
Wind Power Generator_Access Strip,6,NULL
Wind Power Generator_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Wind Power Generator_Alternator,NULL,NULL
Wind Power Generator_Cable and Pipe Management,4,NULL
Wind Power Generator_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe asset.
Wind Power Generator_Common Controls,NULL,NULL
Wind Power Generator_Control Equipment,NULL,NULL
Wind Power Generator_Distribution Board,NULL,NULL
Wind Power Generator_Distribution Network Operator Feeder,NULL,NULL
Wind Power Generator_Drive Assembly,9,NULL
Wind Power Generator_Electrical System,NULL,NULL
Wind Power Generator_Electricity Meter,NULL,NULL
Wind Power Generator_Electricity Sub Meter,NULL,NULL
Wind Power Generator_Equipment Housing,4,NULL
Wind Power Generator_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Wind Power Generator_Foundation,9,NULL
Wind Power Generator_Incomer,NULL,NULL
Wind Power Generator_Ladder,3,NULL
Wind Power Generator_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Wind Power Generator_Mast,9,NULL
